1990,20313249,56776002,47958403,15356173,2815144,964381
f,9406083,26727947,25051397,7783503,1543721,493951
m,10907166,30048055,22907006,7572670,1271423,470430
1995,22004584,58467667,48838192,19332761,2932225,1071336
,10268481,27677247,25688827,10012664,1620938,553855
,11736103,30790420,23149365,9320097,1311287,517481
2000,21572998,64668744,49791000,24328050,3142132,1245673
,10095450,30632709,26327757,12528944,1729049,644271
,11477548,34036035,23463243,11799106,1413083,601402
2005,24268143,72292746,52138483,28827515,3500523,1388616
,11474678,33855015,27228766,14870902,1890585,711997
,12793465,38437731,24909717,13956613,1609938,676619
2010,27992754,88008362,56466487,33630163,3983617,1591009
,13195918,39561116,29233339,17805001,2133865,802408
,14796836,48447246,27233148,15825162,1849752,788601
2015,32600127,99760326,59609369,35790162,4344866,1811842
,16375469,46193819,30453400,18741863,2171921,896935
,16224658,53566507,29155969,17048299,2172945,914907
2019,38738780,112911740,61489552,39790038,4267907,1890509
,18478853,49918932,32512707,20622610,2284656,960187
,20259927,62992808,28976845,19167428,1983251,930322
